"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,49.6,6.12,1411724701,2960316,71,1026,287.11,287.75,286.15,1411709313,1411752290,800,260,3.6,0,0,0,0,26,9,2014,10,"cmc stations","LU","Sky is Clear","01d","Clear"
392146,20,200,49.6,6.12,1411727101,2960316,63,1026,288.41,289.15,287.15,1411709313,1411752290,801,240,4.6,0,0,0,0,26,9,2014,11,"cmc stations","LU","few clouds","02d","Clouds"
392147,20,200,49.6,6.12,1411730547,2960315.8,61.4,1026,289.788,290.81,289.27,1411709313,1411752290,801,254,5.04,0,0,0,0,26,9,2014,12,"cmc stations","LU","few clouds","02d","Clouds"
392148,75,200,49.6,6.12,1411733701,2960316,55,1026,290.28,292.15,289.15,1411709313,1411752290,803,260,4.6,0,0,0,0,26,9,2014,13,"cmc stations","LU","broken clouds","04d","Clouds"
392149,32,200,49.6,6.12,1411737721,2960467.2,59,1025,291.31,293.37,289.75,1411709313,1411752290,801.6,108,3.5,0,0,0,0,26,9,2014,14,"cmc stations","LU","scattered clouds","03d","Clouds"
392150,20,200,49.6,6.12,1411741576,2960694,59,1025,291.485,293.175,289.75,1411709313,1411752290,801,267.5,3.35,0,0,0,0,26,9,2014,15,"cmc stations","LU","few clouds","02d","Clouds"
392151,20,200,49.6,6.12,1411744951,2960316,59,1025,290.87,291.7,289.2,1411709313,1411752290,801,260,2.6,0,0,0,0,26,9,2014,16,"cmc stations","LU","scattered clouds","03d","Clouds"
392152,37.5,200,49.6,6.12,1411748101,6693275,67,1025,289.915,290.35,288.75,1411709313,1411752290,801.5,265,3.35,0,0,0,0,26,9,2014,17,"cmc stations","LU","Sky is Clear","01d","Clear"
392153,75,200,49.6,6.12,1411753201,5448959.66666667,72,1025,289.07,290.15,287.883333333333,1411709313,1411752290,803,270,3.1,0,0,0,0,26,9,2014,18,"cmc stations","LU","broken clouds","04n","Clouds"
392154,4,200,49.6,6.12,1411755751,4826796.5,77,1026,288.68,289.15,287.6,1411709313,1411752290,800,140,1.55,0,0,0,0,26,9,2014,19,"cmc stations","LU","sky is clear","02n","Clear"
392155,0,200,49.6,6.12,1411759801,2960315.33333333,77,1026,288.44,289.15,287.05,1411709313,1411752290,800,0,1,0,0,0,0,26,9,2014,20,"cmc stations","LU","Sky is Clear","01n","Clear"
392156,75,200,49.6,6.12,1411764075.5,2960315.5,82,1027,287.73,288.45,286.65,1411709313,1411752290,803,340,2.1,0,0,0,0,26,9,2014,21,"cmc stations","LU","broken clouds","04n","Clouds"
392157,75,200,49.6,6.12,1411767001,6693275,82,1027,287.45,288.15,286.35,1411709313,1411752290,803,272,1.21,0,0,0,0,26,9,2014,22,"cmc stations","LU","broken clouds","04n","Clouds"
392158,75,200,49.6,6.12,1411771051,3893595.5,82,1027,287.29,288.15,286.15,1411709313,1411752290,803,0,1.125,0,0,0,0,26,9,2014,23,"cmc stations","LU","broken clouds","04n","Clouds"
392159,0,200,49.6,6.12,1411774201,2960468,87,1027,287.06,287.55,286.35,1411709313,1411752290,800,0,1,0,0,0,0,27,9,2014,0,"cmc stations","LU","Sky is Clear","01n","Clear"
392160,37.5,200,49.6,6.12,1411776901,4826798.5,87,1027,287.14,287.55,286.65,1411795803,1411838559,801.5,0,1.25,0,0,0,0,27,9,2014,1,"cmc stations","LU","broken clouds","04n","Clouds"
392161,4,200,49.6,6.12,1411780580,4826796.5,87,1027,286.885,287.55,286.15,1411795803,1411838559,800,50,2.6,0,0,0,0,27,9,2014,2,"cmc stations","LU","sky is clear","02n","Clear"
392162,8,200,49.6,6.12,1411783801,4826985.5,82,1027,286.74,287.55,286.05,1411795803,1411838559,800,70,1.5,0,0,0,0,27,9,2014,3,"cmc stations","LU","sky is clear","02n","Clear"
392163,75,200,49.6,6.12,1411787701,2960486.5,87,1027,286.88,287.55,285.875,1411795803,1411838559,803,70,2.35,0,0,0,0,27,9,2014,4,"cmc stations","LU","broken clouds","04n","Clouds"
392164,75,200,49.6,6.12,1411792452.5,2960505,87,1027,286.465,287.5,285.5,1411795803,1411838559,803,35,2.55,0,0,0,0,27,9,2014,5,"cmc stations","LU","broken clouds","04n","Clouds"
392165,75,200,49.6,6.12,1411796268.5,2960392,87,1027,286.4,287.45,285.35,1411795803,1411838559,803,0,1.5,0,0,0,0,27,9,2014,6,"cmc stations","LU","broken clouds","04d","Clouds"
392166,75,200,49.6,6.12,1411799136,2960316,87,1027,286.44,287.45,285.35,1411795803,1411838559,803,26.5072,1.15,0,0,0,0,27,9,2014,7,"cmc stations","LU","broken clouds","04d","Clouds"
392167,75,200,49.6,6.12,1411803105.5,2960504.5,82,1028,287.26,288.15,286.15,1411795803,1411838559,803,70,2.6,0,0,0,0,27,9,2014,8,"cmc stations","LU","broken clouds","04d","Clouds"
392168,75,200,49.6,6.12,1411807236,2960442,78.6666666666667,1028,288.946666666667,289.583333333333,288.15,1411795803,1411838559,803,63.3333333333333,2.26666666666667,0,0,0,0,27,9,2014,9,"cmc stations","LU","broken clouds","04d","Clouds"
392169,75,200,49.6,6.12,1411809335,2960532,77,1028,289.745,290.3,289,1411795803,1411838559,803,30,1.8,0,0,0,0,27,9,2014,10,"cmc stations","LU","broken clouds","04d","Clouds"
392170,75,200,49.6,6.12,1411812035,6693282,72,1028,290.99,291.65,290.15,1411795803,1411838559,803,0,1.5,0,0,0,0,27,9,2014,11,"cmc stations","LU","broken clouds","04d","Clouds"
392171,20,200,49.6,6.12,1411816085,4826799,64,1028,293.195,294.4,291.15,1411795803,1411838559,801,0,1.5,0,0,0,0,27,9,2014,12,"cmc stations","LU","few clouds","02d","Clouds"
392172,75,200,49.6,6.12,1411820855.2,4453576,58.4,1028,293.4,295.37,292.15,1411795803,1411838559,753.8,70,2.4,0,0,0,0,27,9,2014,13,"cmc stations","LU","haze","50d","Haze"
392173,75,200,49.6,6.12,1411824431.2,3706907.8,60,1027.4,293.11,293.79,292.39,1411795803,1411838559,770.2,54,1.5,0,0,0,0,27,9,2014,14,"cmc stations","LU","broken clouds","04d","Clouds"
392174,75,200,49.6,6.12,1411827792,6693282,60,1027,293.345,294,292.95,1411795803,1411838559,721,40,1.8,0,0,0,0,27,9,2014,15,"cmc stations","LU","haze","50d","Haze"
392175,75,200,49.6,6.12,1411832892,2960528,60,1027,292.66,293.35,291.65,1411795803,1411838559,803,0,1.5,0,0,0,0,27,9,2014,16,"cmc stations","LU","broken clouds","04d","Clouds"
392176,63.3333333333333,200,49.6,6.12,1411835742,2960315,60,1026,292.086666666667,293.15,290.183333333333,1411795803,1411838559,721,76.6666666666667,1.7,0,0,0,0,27,9,2014,17,"cmc stations","LU","haze","50d","Haze"
392177,20,200,49.6,6.12,1411839042,2960316,72,1026,290.31,291.15,288.45,1411795803,1411838559,721,80,1.5,0,0,0,0,27,9,2014,18,"cmc stations","LU","haze","50n","Haze"
392178,20,200,49.6,6.12,1411841742,6693282,77,1026,288.53,290.15,286.65,1411795803,1411838559,721,80,2.1,0,0,0,0,27,9,2014,19,"cmc stations","LU","haze","50n","Haze"
392179,0,200,49.6,6.12,1411845342,2960392,82,1026,287.565,289.35,285.6,1411795803,1411838559,721,80,1.8,0,0,0,0,27,9,2014,20,"cmc stations","LU","haze","50n","Haze"
392180,0,200,49.6,6.12,1411848942,2960315.5,82,1026,287.005,288.95,285.35,1411795803,1411838559,711,80,2.35,0,0,0,0,27,9,2014,21,"cmc stations","LU","haze","50n","Haze"
392181,0,200,49.6,6.12,1411854342,6693282,87,1026,286.36,287.85,285.05,1411795803,1411838559,701,80,2.6,0,0,0,0,27,9,2014,22,"cmc stations","LU","mist","50n","Mist"
392182,0,200,49.6,6.12,1411855546,2960316,82,1026,286.25,287.65,284.95,1411795803,1411838559,701,70,3.1,0,0,0,0,27,9,2014,23,"cmc stations","LU","mist","50n","Mist"
392183,0,200,49.6,6.12,1411860192,2960315,90,1026,285.54,286.9,284.3,1411795803,1411838559,701,70,3.6,0,0,0,0,28,9,2014,0,"cmc stations","LU","mist","50n","Mist"
392184,0,200,49.6,6.12,1411864242,2960316,93,1025,285.32,286.45,284.35,1411882292,1411924830,800,80,3.6,0,0,0,0,28,9,2014,1,"cmc stations","LU","Sky is Clear","01n","Clear"
392185,9,200,49.6,6.12,1411867927.75,4826799,93,1025,284.905,286.125,283.825,1411882292,1411924830,800.75,72.5,3.225,0,0,0,0,28,9,2014,2,"cmc stations","LU","few clouds","02n","Clouds"
392186,8,200,49.6,6.12,1411872542,4204635.66666667,87,1024.66666666667,284.42,285.95,283.15,1411882292,1411924830,800.666666666667,80,3.1,0,0,0,0,28,9,2014,3,"cmc stations","LU","few clouds","02n","Clouds"
392187,0,200,49.6,6.12,1411875818,2960316,87,1024,284.58,286.15,283.15,1411882292,1411924830,701,70,2.6,0,0,0,0,28,9,2014,4,"cmc stations","LU","mist","50n","Mist"
392188,0,200,49.6,6.12,1411878942,2960315,87,1024,283.58,285.25,280.55,1411882292,1411924830,721,70,3.1,0,0,0,0,28,9,2014,5,"cmc stations","LU","haze","50n","Haze"
392189,0,200,49.6,6.12,1411882103.33333,2960315.33333333,93,1024,283.426666666667,285.35,280.45,1411882292,1411924830,701,76.6666666666667,3.1,0,0,0,0,28,9,2014,6,"cmc stations","LU","mist","50n","Mist"
392190,0,200,49.6,6.12,1411885842,2960315,93,1024,283.93,285.55,281.15,1411882292,1411924830,701,70,2.1,0,0,0,0,28,9,2014,7,"cmc stations","LU","mist","50d","Mist"
392191,0,200,49.6,6.12,1411888544,2960316,87,1024,285.045,286.3,283.2,1411882292,1411924830,701,100,1.5,0,0,0,0,28,9,2014,8,"cmc stations","LU","mist","50d","Mist"
392192,0,200,49.6,6.12,1411893567,2960505,87,1024,286.955,287.8,286,1411882292,1411924830,701,125,2.6,0,0,0,0,28,9,2014,9,"cmc stations","LU","mist","50d","Mist"
392193,0,200,49.6,6.12,1411897241,2960505,77,1024,289.165,290.15,288.15,1411882292,1411924830,721,160,3.1,0,0,0,0,28,9,2014,10,"cmc stations","LU","haze","50d","Haze"
392194,0,200,49.6,6.12,1411900241,2960316,77,1024,290.53,291.25,289.85,1411882292,1411924830,800,170,3.6,0,0,0,0,28,9,2014,11,"cmc stations","LU","Sky is Clear","01d","Clear"
392195,0,200,49.6,6.12,1411902483,2960316,72,1024,291.54,292.5,290.15,1411882292,1411924830,800,0,3.1,0,0,0,0,28,9,2014,12,"cmc stations","LU","Sky is Clear","01d","Clear"
392196,0,200,49.6,6.12,1411907441,2960746.5,66,1024,293.845,295.1,292.65,1411882292,1411924830,800,360,3.85,0,0,0,0,28,9,2014,13,"cmc stations","LU","Sky is Clear","01d","Clear"
392197,0,200,49.6,6.12,1411911541,5449086,64,1024,295.016666666667,296.083333333333,294.15,1411882292,1411924830,800,0,3.6,0,0,0,0,28,9,2014,14,"cmc stations","LU","Sky is Clear","01d","Clear"
392198,0,200,49.6,6.12,1411914191,4826988,60,1023,294.93,296.05,294.15,1411882292,1411924830,800,85,3.1,0,0,0,0,28,9,2014,15,"cmc stations","LU","Sky is Clear","01d","Clear"
392199,0,200,49.6,6.12,1411917791,4827011.5,60,1023,294.815,296.15,293.75,1411882292,1411924830,800,170,2.85,0,0,0,0,28,9,2014,16,"cmc stations","LU","Sky is Clear","01d","Clear"
392200,0,200,49.6,6.12,1411921391,2960315.5,64,1023,293.87,294.85,292.45,1411882292,1411924830,800,155,2.05,0,0,0,0,28,9,2014,17,"cmc stations","LU","Sky is Clear","01d","Clear"
392201,0,200,49.6,6.12,1411924541,2960315.5,60,1023,292.4,294.15,290.9,1411882292,1411924830,800,150,2.1,0,0,0,0,28,9,2014,18,"cmc stations","LU","Sky is Clear","01d","Clear"
392202,0,200,49.6,6.12,1411928516,3893555.75,63.75,1023,290.28,292.9,287.825,1411882292,1411924830,800,37.5,1.275,0,0,0,0,28,9,2014,19,"cmc stations","LU","Sky is Clear","01n","Clear"
392203,0,200,49.6,6.12,1411932544.5,3893662.25,68.75,1023,288.7075,290.9,286.15,1411882292,1411924830,800,137.5,2.075,0,0,0,0,28,9,2014,20,"cmc stations","LU","Sky is Clear","01n","Clear"
392204,0,200,49.6,6.12,1411936601,2960542.4,75,1023,287.968,289.55,285.55,1411882292,1411924830,800,170,2.9,0,0,0,0,28,9,2014,21,"cmc stations","LU","Sky is Clear","01n","Clear"
392205,0,200,49.6,6.12,1411938041,6693275,77,1023,287.76,289.15,285.65,1411882292,1411924830,800,170,3.1,0,0,0,0,28,9,2014,22,"cmc stations","LU","Sky is Clear","01n","Clear"
392206,0,200,49.6,6.12,1411941641,2960316,72,1023,287.55,289.15,285.95,1411882292,1411924830,800,170,2.1,0,0,0,0,28,9,2014,23,"cmc stations","LU","Sky is Clear","01n","Clear"
392207,0,200,49.6,6.12,1411945652,2960316,77,1023,286.655,288.3,284.55,1411882292,1411924830,800,0,0.5,0,0,0,0,29,9,2014,0,"cmc stations","LU","Sky is Clear","01n","Clear"
392208,6,200,49.6,6.12,1411950341,4826795.33333333,77,1023,286.43,288.15,283.7,1411968782,1412011100,800.5,85,1.25,0,0,0,0,29,9,2014,1,"cmc stations","LU","Sky is Clear","01n","Clear"
392209,28,200,49.6,6.12,1411954241,6693282,79.5,1023,285.955,287.65,283.1,1411968782,1412011100,801.5,85,1,0,0,0,0,29,9,2014,2,"cmc stations","LU","few clouds","02n","Clouds"
392210,26,200,49.6,6.12,1411957805.5,6693282,82,1023,285.74,287.15,282.85,1411968782,1412011100,801,90,1.25,0,0,0,0,29,9,2014,3,"cmc stations","LU","sky is clear","02n","Clear"
392211,0,200,49.6,6.12,1411961257,3893652,82,1023,285.62,287.15,283.1,1411968782,1412011100,800,0,1,0,0,0,0,29,9,2014,4,"cmc stations","LU","Sky is Clear","01n","Clear"
392212,0,200,49.6,6.12,1411965097,4826798.5,84.5,1023,285.04,286.75,282.55,1411968782,1412011100,800,0,0.75,0,0,0,0,29,9,2014,5,"cmc stations","LU","Sky is Clear","01n","Clear"
392214,0,200,49.6,6.12,1411971701,2960542.8,87,1024,284.586,286.15,282.05,1411968782,1412011100,800,170.201,1.61,0,0,0,0,29,9,2014,7,"cmc stations","LU","Sky is Clear","01d","Clear"
392215,0,200,49.6,6.12,1411974951,2960315.5,90,1024,285.65,286.7,283.65,1411968782,1412011100,800,0,1.25,0,0,0,0,29,9,2014,8,"cmc stations","LU","Sky is Clear","01d","Clear"
392216,0,200,49.6,6.12,1411979231,5760038,82,1024,287.9075,288.65,286.975,1411968782,1412011100,800,0,1.25,0,0,0,0,29,9,2014,9,"cmc stations","LU","Sky is Clear","01d","Clear"
392217,0,200,49.6,6.12,1411982761,2960505,82,1024,288.825,289.15,288.45,1411968782,1412011100,800,65,1.25,0,0,0,0,29,9,2014,10,"cmc stations","LU","Sky is Clear","01d","Clear"
392218,0,200,49.6,6.12,1411986061,2960442,73.6666666666667,1024,290.556666666667,291.783333333333,289.816666666667,1411968782,1412011100,800,0,1.16666666666667,0,0,0,0,29,9,2014,11,"cmc stations","LU","Sky is Clear","01d","Clear"
392219,0,200,49.6,6.12,1411989541,3706906.2,68,1024,291.4,293.09,290.09,1411968782,1412011100,800,80,1.94,0,0,0,0,29,9,2014,12,"cmc stations","LU","Sky is Clear","01d","Clear"
392220,75,200,49.6,6.12,1411992961,2960694,64,1024,292.27,294.15,290.15,1411968782,1412011100,803,220,2.6,0,0,0,0,29,9,2014,13,"cmc stations","LU","broken clouds","04d","Clouds"
392221,75,200,49.6,6.12,1411997611,4204698.5,70.6666666666667,1024,291.88,293.483333333333,290.5,1411968782,1412011100,601,166.666666666667,2.43333333333333,0,0,0,0,29,9,2014,14,"cmc stations","LU","light rain","10d","Rain"
392222,75,200,49.6,6.12,1412001511,4826793.5,77,1024,290.635,293.15,288.7,1411968782,1412011100,500,160,3.1,0,0,0,0,29,9,2014,15,"cmc stations","LU","light rain","10d","Rain"
392223,75,200,49.6,6.12,1412004811,6693282,90.5,1024,289.93,292.65,287.95,1411968782,1412011100,520,235,3.85,0,0,0,0,29,9,2014,16,"cmc stations","LU","light intensity shower rain","09d","Rain"
392224,75,200,49.6,6.12,1412007341,2960316,93,1024,289.27,291.15,287.55,1411968782,1412011100,500,260,2.1,0,0,0,0,29,9,2014,17,"cmc stations","LU","light rain","10d","Rain"
392225,75,200,49.6,6.12,1412011636,2960316,88.5,1024,288.7875,289.675,287.375,1411968782,1412011100,500,150,2.7,0,0,0,0,29,9,2014,18,"cmc stations","LU","light rain","10n","Rain"
392226,75,200,49.6,6.12,1412015160,2960315.6,91.8,1024,288.328,289.35,287.35,1411968782,1412011100,742.4,0,1.1,0,0,0,0,29,9,2014,19,"cmc stations","LU","broken clouds","04n","Clouds"
392227,75,200,49.6,6.12,1412017710,2960315.5,87,1024,288.47,289.3,287.4,1411968782,1412011100,803,200,2.1,0,0,0,0,29,9,2014,20,"cmc stations","LU","broken clouds","04n","Clouds"
392228,75,200,49.6,6.12,1412021910,2960315,93,1024,288.23,289.15,287.5,1411968782,1412011100,803,105,1.8,0,0,0,0,29,9,2014,21,"cmc stations","LU","broken clouds","04n","Clouds"
392229,75,200,49.6,6.12,1412024460,6693278.33333333,93,1025,288.17,289.05,287.55,1411968782,1412011100,803,210,2.1,0,0,0,0,29,9,2014,22,"cmc stations","LU","broken clouds","04n","Clouds"
392230,75,200,49.6,6.12,1412028505,6693278.5,93,1024.75,288.18,289.025,287.55,1411968782,1412011100,803,240,1.825,0,0,0,0,29,9,2014,23,"cmc stations","LU","broken clouds","04n","Clouds"
392231,75,200,49.6,6.12,1412033440,4826799,96.5,1024,287.94,288.9,287.2,1411968782,1412011100,803,240,1.5,0,0,0,0,30,9,2014,0,"cmc stations","LU","broken clouds","04n","Clouds"
392232,75,200,49.6,6.12,1412036240,5448956.66666667,93,1025,287.843333333333,288.75,287.15,1412055272,1412097371,803,200,0.5,0,0,0,0,30,9,2014,1,"cmc stations","LU","broken clouds","04n","Clouds"
392233,86.6666666666667,200,49.6,6.12,1412040240,4204890,93,1025,287.98,288.516666666667,287.05,1412055272,1412097371,601,80,1.7,0,0.333333333333333,0,0,30,9,2014,2,"cmc stations","LU","light rain","10n","Rain"
392234,84,200,49.6,6.12,1412043784.5,4826988,93,1025,287.73,288.4,287.15,1412055272,1412097371,721,0,1.5,0,0,0,0,30,9,2014,3,"cmc stations","LU","haze","50n","Haze"
392235,75,200,49.6,6.12,1412046040,2960694,100,1025,287.52,288.35,287.15,1412055272,1412097371,701,210,2.1,0,0,0,0,30,9,2014,4,"cmc stations","LU","mist","50n","Mist"
392236,75,200,49.6,6.12,1412050740,4204687,100,1025,287.416666666667,288.116666666667,287.083333333333,1412055272,1412097371,707.666666666667,246.666666666667,1.33333333333333,0,0,0,0,30,9,2014,5,"cmc stations","LU","mist","50n","Mist"
392237,75,200,49.6,6.12,1412054140,2960316,93,1025,287.35,288.15,287.05,1412055272,1412097371,701,270,1,0,0,0,0,30,9,2014,6,"cmc stations","LU","mist","50n","Mist"
392238,75,200,49.6,6.12,1412059119.2,4453578,100,1025,287.478,288.41,287.03,1412055272,1412097371,701,0,1.4,0,0,0,0,30,9,2014,7,"cmc stations","LU","mist","50d","Mist"
392239,75,200,49.6,6.12,1412062840.66667,2960441.33333333,93,1026,288.04,288.616666666667,287.416666666667,1412055272,1412097371,701,0,1.5,0,0,0,0,30,9,2014,8,"cmc stations","LU","mist","50d","Mist"
392240,75,200,49.6,6.12,1412065903.6,2960315.6,93,1026,288.318,289.07,287.65,1412055272,1412097371,701,0,1.2,0,0,0,0,30,9,2014,9,"cmc stations","LU","mist","50d","Mist"
392241,75,200,49.6,6.12,1412069893.5,4826798.5,93,1026,288.585,289.2,288.05,1412055272,1412097371,701,0,1,0,0,0,0,30,9,2014,10,"cmc stations","LU","mist","50d","Mist"
392242,75,200,49.6,6.12,1412073348.66667,2960315,95.3333333333333,1026.66666666667,289.613333333333,290.25,288.816666666667,1412055272,1412097371,803,270,2.1,0,0,0,0,30,9,2014,11,"cmc stations","LU","broken clouds","04d","Clouds"
392243,75,200,49.6,6.12,1412076946,3893557.25,89.25,1027,290.615,291.7,289.15,1412055272,1412097371,803,0,1,0,0,0,0,30,9,2014,12,"cmc stations","LU","broken clouds","04d","Clouds"
392244,33.3333333333333,200,49.6,6.12,1412080152.66667,5448960,80.3333333333333,1026.66666666667,291.65,292.85,290.483333333333,1412055272,1412097371,801.666666666667,0,1.5,0,0,0,0,30,9,2014,13,"cmc stations","LU","scattered clouds","03d","Clouds"
392245,30,200,49.6,6.12,1412083555,2960315.5,72.5,1026,292.595,293.55,291.4,1412055272,1412097371,801.5,0,1.25,0,0,0,0,30,9,2014,14,"cmc stations","LU","scattered clouds","03d","Clouds"
392246,20,200,49.6,6.12,1412086690,2960316,77,1026,292.625,293.75,291.15,1412055272,1412097371,801,0,1.5,0,0,0,0,30,9,2014,15,"cmc stations","LU","few clouds","02d","Clouds"
392247,30,200,49.6,6.12,1412090596.66667,2960315.33333333,68,1026,292.815,294.183333333333,292.05,1412055272,1412097371,801.5,280,2.1,0,0,0,0,30,9,2014,16,"cmc stations","LU","few clouds","02d","Clouds"
392248,40,200,49.6,6.12,1412094856,2960315.66666667,66.6666666666667,1026,291.936666666667,292.916666666667,291.05,1412055272,1412097371,802,92.0016666666667,0.973333333333333,0,0,0,0,30,9,2014,17,"cmc stations","LU","scattered clouds","03d","Clouds"
392249,0,200,49.6,6.12,1412099167,2960316,82,1026,290.06,291.15,288.35,1412055272,1412097371,800,300,1.5,0,0,0,0,30,9,2014,18,"cmc stations","LU","Sky is Clear","01n","Clear"
392250,0,200,49.6,6.12,1412102149.33333,2960315.33333333,82,1026,288.946666666667,290.483333333333,286.783333333333,1412055272,1412097371,800,228.001,1.21,0,0,0,0,30,9,2014,19,"cmc stations","LU","Sky is Clear","01n","Clear"
392251,0,200,49.6,6.12,1412105585.2,5200091.8,89.4,1026,287.762,289.15,285.59,1412055272,1412097371,800,76.6008,1.084,0,0,0,0,30,9,2014,20,"cmc stations","LU","Sky is Clear","01n","Clear"
392252,0,200,49.6,6.12,1412108472.25,3893555.25,88.5,1026,287.2625,288.9,284.85,1412055272,1412097371,800,193.37675,1.4725,0,0,0,0,30,9,2014,21,"cmc stations","LU","Sky is Clear","01n","Clear"
392253,0,200,49.6,6.12,1412112207,2960532,100,1026,286,287.8,283.9,1412055272,1412097371,711,280,2.1,0,0,0,0,30,9,2014,22,"cmc stations","LU","mist","50n","Mist"
392254,0,200,49.6,6.12,1412115807.5,2960504.5,93,1026,285.595,287.3,283.65,1412055272,1412097371,701,280,1.5,0,0,0,0,30,9,2014,23,"cmc stations","LU","mist","50n","Mist"
392255,0,200,49.6,6.12,1412119709,4826799,100,1026,285.46,286.8,283.5,1412055272,1412097371,741,305,1.5,0,0,0,0,1,10,2014,0,"cmc stations","LU","fog","50n","Fog"
392256,80,200,49.6,6.12,1412123439,2960694,93,1026,284.9,286.35,282.85,1412141763,1412183642,741,310,1.5,0,0,0,0,1,10,2014,1,"cmc stations","LU","fog","50n","Fog"
392257,80,200,49.6,6.12,1412125553.66667,2960694,93,1027,284.786666666667,286.116666666667,282.65,1412141763,1412183642,741,320,2.6,0,0,0,0,1,10,2014,2,"cmc stations","LU","fog","50n","Fog"
392258,29.3333333333333,200,49.6,6.12,1412129639,4204636.33333333,97.6666666666667,1026,284.616666666667,285.683333333333,282.716666666667,1412141763,1412183642,741,60,0.833333333333333,0,0,0,0,1,10,2014,3,"cmc stations","LU","fog","50n","Fog"
392259,40,200,49.6,6.12,1412135139,2960315,100,1026,283.64,285.15,281.95,1412141763,1412183642,701,30,0.5,0,0,0,0,1,10,2014,4,"cmc stations","LU","mist","50n","Mist"
392260,30,200,49.6,6.12,1412137839,4826798.5,96.5,1026,283.17,285.15,281.35,1412141763,1412183642,701,56.75,1.36,0,0,0,0,1,10,2014,5,"cmc stations","LU","mist","50n","Mist"
392261,92,200,49.6,6.12,1412141653,5760054,96.5,1026,282.98,285.025,281.2,1412141763,1412183642,701,180,1,0,0,0,0,1,10,2014,6,"cmc stations","LU","mist","50n","Mist"
392262,92,200,49.6,6.12,1412145394.33333,2960334,97.6666666666667,1027,283.253333333333,285.05,281.916666666667,1412141763,1412183642,741,106.669333333333,1.35,0,0,0,0,1,10,2014,7,"cmc stations","LU","fog","50d","Fog"
392263,92,200,49.6,6.12,1412148277.66667,5448960,91.3333333333333,1027,284.6,287.15,282.816666666667,1412141763,1412183642,741,163.667666666667,1.58333333333333,0,0,0,0,1,10,2014,8,"cmc stations","LU","fog","50d","Fog"
392264,92,200,49.6,6.12,1412152059,2960315.5,87,1027,286.321666666667,288.15,284.783333333333,1412141763,1412183642,540.166666666667,154.5,1.76,0,1.66666666666667,0,0,1,10,2014,9,"cmc stations","LU","light rain","10d","Rain"
392265,0,200,49.6,6.12,1412156728.5,2960316,77,1028,289.395,291.55,287.15,1412141763,1412183642,701,0,1,0,0,0,0,1,10,2014,10,"cmc stations","LU","mist","50d","Mist"
392266,20,200,49.6,6.12,1412160339,6693271,72,1028,290.74,292.15,289.15,1412141763,1412183642,801,248.002,1.96,0,0,0,0,1,10,2014,11,"cmc stations","LU","few clouds","02d","Clouds"
392267,20,200,49.6,6.12,1412163489,4826795.5,68,1028,292.055,293.5,291.1,1412141763,1412183642,801,0,1.5,0,0,0,0,1,10,2014,12,"cmc stations","LU","few clouds","02d","Clouds"
392268,20,200,49.6,6.12,1412166839,2960316,68,1027,292.856666666667,293.583333333333,291.616666666667,1412141763,1412183642,801,0,1.5,0,0,0,0,1,10,2014,13,"cmc stations","LU","few clouds","02d","Clouds"
392269,35,200,49.6,6.12,1412170389,4826799,57,1027,292.78,294.15,289.9,1412141763,1412183642,801.75,157.5,2.325,0,0,0,0,1,10,2014,14,"cmc stations","LU","scattered clouds","03d","Clouds"
392270,33.3333333333333,200,49.6,6.12,1412173957.33333,2960441.66666667,62.6666666666667,1027,292.526666666667,294.15,289.183333333333,1412141763,1412183642,801.666666666667,220,3.26666666666667,0,0,0,0,1,10,2014,15,"cmc stations","LU","scattered clouds","03d","Clouds"
392271,20,200,49.6,6.12,1412176089,2960505,64,1027,292.255,293.15,289.6,1412141763,1412183642,801,0,1,0,0,0,0,1,10,2014,16,"cmc stations","LU","few clouds","02d","Clouds"
392272,30,200,49.6,6.12,1412180439,5760040.5,70,1027,290.825,291.65,290,1412141763,1412183642,801.5,345,2.6,0,0,0,0,1,10,2014,17,"cmc stations","LU","scattered clouds","03d","Clouds"
392273,32,200,49.6,6.12,1412184415.8,5200171.2,72,1027,289.804,290.75,288.31,1412141763,1412183642,801.6,350,2.1,0,0,0,0,1,10,2014,18,"cmc stations","LU","scattered clouds","03d","Clouds"
392274,0,200,49.6,6.12,1412188468,2960442,75.3333333333333,1027,288.533333333333,291.15,285.983333333333,1412141763,1412183642,800,340,2.26666666666667,0,0,0,0,1,10,2014,19,"cmc stations","LU","Sky is Clear","01n","Clear"
392275,0,200,49.6,6.12,1412193039,2960741,77,1028,286.96,288.35,284.35,1412141763,1412183642,800,0,1.5,0,0,0,0,1,10,2014,20,"cmc stations","LU","Sky is Clear","01n","Clear"
392276,0,200,49.6,6.12,1412195115,2960561.6,77,1028,286.634,288.17,284.13,1412141763,1412183642,800,0,0.7,0,0,0,0,1,10,2014,21,"cmc stations","LU","Sky is Clear","01n","Clear"
392277,0,200,49.6,6.12,1412199432,2960694,87,1028,285.79,287.25,284.35,1412141763,1412183642,800,0,0.5,0,0,0,0,1,10,2014,22,"cmc stations","LU","Sky is Clear","01n","Clear"
